CÓDIGO,NOME
E71,DISTÚRBIOS DO METABOLISMO DE AMINOÁCIDOS DE CADEIA RAMIFICADA E DO METABOLISMO DOS ÁCIDOS GRAXOS
E72,OUTROS DISTÚRBIOS DO METABOLISMO DE AMINOÁCIDOS
E73,INTOLERÂNCIA À LACTOSE
E74,OUTROS DISTÚRBIOS DO METABOLISMO DE CARBOIDRATOS
E75,DISTÚRBIOS DO METABOLISMO DE ESFINGOLÍPIDES E OUTROS DISTÚRBIOS DE DEPÓSITO DE LÍPIDES
E76,DISTÚRBIOS DO METABOLISMO DO GLICOSAMINOGLICANO
E77,DISTÚRBIOS DO METABOLISMO DE GLICOPROTEÍNAS
E78,DISTÚRBIOS DO METABOLISMO DE LIPOPROTEÍNAS E OUTRAS LIPIDEMIAS
E79,DISTÚRBIOS DO METABOLISMO DE PURINA E PIRIMIDINA
E80,DISTÚRBIOS DO METABOLISMO DA PORFIRINA E DA BILIRRUBINA
E83,DISTÚRBIOS DO METABOLISMO DE MINERAIS
E84,FIBROSE CÍSTICA
E85,AMILOIDOSE
E86,DEPLEÇÃO DE VOLUME
E87,OUTROS TRANSTORNOS DO EQUILÍBRIO HIDROELETROLÍTICO E ÁCIDO-BÁSICO
E88,OUTROS DISTÚRBIOS METABÓLICOS
E89,TRANSTORNOS ENDÓCRINOS E METABÓLICOS PÓS-PROCEDIMENTOS, NÃO CLASSIFICADOS EM OUTRA PARTE
E90,TRANSTORNOS NUTRICIONAIS E METABÓLICOS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
F00,DEMÊNCIA NA DOENÇA DE ALZHEIMER
F01,DEMÊNCIA VASCULAR
F02,DEMÊNCIA EM OUTRAS DOENÇAS CLASSIFICADAS EM OUTRA PARTE
F03,DEMÊNCIA NÃO ESPECIFICADA
F04,SÍNDROME AMNÉSICA ORGÂNICA NÃO INDUZIDA PELO ÁLCOOL OU POR OUTRAS SUBSTÂNCIAS PSICOATIVAS
F05,DELIRIUM NÃO INDUZIDO PELO ÁLCOOL OU POR OUTRAS SUBSTÂNCIAS PSICOATIVAS
F06,OUTROS TRANSTORNOS MENTAIS DEVIDOS A LESÃO E DISFUNÇÃO CEREBRAL E A DOENÇA FÍSICA
F07,TRANSTORNOS DE PERSONALIDADE E DO COMPORTAMENTO DEVIDOS A DOENÇA, A LESÃO E A DISFUNÇÃO CEREBRAL
F09,TRANSTORNO MENTAL ORGÂNICO OU SINTOMÁTICO NÃO ESPECIFICADO
F10,TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE ÁLCOOL
F11,TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE OPIÁCEOS
F12,TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE CANABINÓIDES
F13,TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE SEDATIVOS E HIPNÓTICOS
F14,TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DA COCAÍNA
F15,TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE OUTROS ESTIMULANTES, INCLUSIVE A CAFEÍNA
F16,TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE ALUCINÓGENOS
F17,TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE FUMO
F18,TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE SOLVENTES VOLÁTEIS
F19,TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE MÚLTIPLAS DROGAS E AO USO DE OUTRAS SUBSTÂNCIAS PSICOATIVAS
F20,ESQUIZOFRENIA
F21,TRANSTORNO ESQUIZOTÍPICO
F22,TRANSTORNOS DELIRANTES PERSISTENTES
F23,TRANSTORNOS PSICÓTICOS AGUDOS E TRANSITÓRIOS
F24,TRANSTORNO DELIRANTE INDUZIDO
F25,TRANSTORNOS ESQUIZOAFETIVOS
F28,OUTROS TRANSTORNOS PSICÓTICOS NÃO-ORGÂNICOS
F29,PSICOSE NÃO-ORGÂNICA NÃO ESPECIFICADA
F30,EPISÓDIO MANÍACO
F31,TRANSTORNO AFETIVO BIPOLAR
F32,EPISÓDIOS DEPRESSIVOS
F33,TRANSTORNO DEPRESSIVO RECORRENTE
F34,TRANSTORNOS DE HUMOR [AFETIVOS] PERSISTENTES
F38,OUTROS TRANSTORNOS DO HUMOR [AFETIVOS]
F39,TRANSTORNO DO HUMOR [AFETIVO] NÃO ESPECIFICADO
F40,TRANSTORNOS FÓBICO-ANSIOSOS
F41,OUTROS TRANSTORNOS ANSIOSOS
F42,TRANSTORNO OBSESSIVO-COMPULSIVO
F43,"REAÇÕES AO ""STRESS"" GRAVE E TRANSTORNOS DE ADAPTAÇÃO"
F44,TRANSTORNOS DISSOCIATIVOS [DE CONVERSÃO]
F45,TRANSTORNOS SOMATOFORMES
F48,OUTROS TRANSTORNOS NEURÓTICOS
F50,TRANSTORNOS DA ALIMENTAÇÃO
F51,TRANSTORNOS NÃO-ORGÂNICOS DO SONO DEVIDOS A FATORES EMOCIONAIS
F52,DISFUNÇÃO SEXUAL, NÃO CAUSADA POR TRANSTORNO OU DOENÇA ORGÂNICA
F53,TRANSTORNOS MENTAIS E COMPORTAMENTAIS ASSOCIADOS AO PUERPÉRIO, NÃO CLASSIFICADOS EM OUTRA PARTE
F54,FATORES PSICOLÓGICOS OU COMPORTAMENTAIS ASSOCIADOS A DOENÇA OU A TRANSTORNOS CLASSIFICADOS EM OUTRA PARTE
F55,ABUSO DE SUBSTÂNCIAS QUE NÃO PRODUZEM DEPENDÊNCIA
F59,SÍNDROMES COMPORTAMENTAIS ASSOCIADOS A TRANSTORNOS DAS FUNÇÕES FISIOLÓGICAS E A FATORES FÍSICOS, NÃO ESPECIFICADAS
F60,TRANSTORNOS ESPECÍFICOS DA PERSONALIDADE
F61,TRANSTORNOS MISTOS DA PERSONALIDADE E OUTROS TRANSTORNOS DA PERSONALIDADE
F62,MODIFICAÇÕES DURADOURAS DA PERSONALIDADE NÃO ATRIBUÍVEIS A LESÃO OU DOENÇA CEREBRAL
F63,TRANSTORNOS DOS HÁBITOS E DOS IMPULSOS
F64,TRANSTORNOS DA IDENTIDADE SEXUAL
F65,TRANSTORNOS DA PREFERÊNCIA SEXUAL
F66,TRANSTORNOS PSICOLÓGICOS E COMPORTAMENTAIS ASSOCIADOS AO DESENVOLVIMENTO SEXUAL E À SUA ORIENTAÇÃO
F68,OUTROS TRANSTORNOS DA PERSONALIDADE E DO COMPORTAMENTO DO ADULTO
F69,TRANSTORNO DA PERSONALIDADE E DO COMPORTAMENTO DO ADULTO, NÃO ESPECIFICADO
F70,RETARDO MENTAL LEVE
F71,RETARDO MENTAL MODERADO
F72,RETARDO MENTAL GRAVE
F73,RETARDO MENTAL PROFUNDO
F78,OUTRO RETARDO MENTAL
F79,RETARDO MENTAL NÃO ESPECIFICADO
F80,TRANSTORNOS ESPECÍFICOS DO DESENVOLVIMENTO DA FALA E DA LINGUAGEM
F81,TRANSTORNOS ESPECÍFICOS DO DESENVOLVIMENTO DAS HABILIDADES ESCOLARES
F82,TRANSTORNO ESPECÍFICO DO DESENVOLVIMENTO MOTOR
F83,TRANSTORNOS ESPECÍFICOS MISTO DO DESENVOLVIMENTO
F84,TRANSTORNOS GLOBAIS DO DESENVOLVIMENTO
F88,OUTROS TRANSTORNOS DO DESENVOLVIMENTO PSICOLÓGICO
F89,TRANSTORNO DO DESENVOLVIMENTO PSICOLÓGICO NÃO ESPECIFICADO
F90,TRANSTORNOS HIPERCINÉTICOS
F91,DISTÚRBIOS DE CONDUTA
F92,TRANSTORNOS MISTOS DE CONDUTA E DAS EMOÇÕES
F93,TRANSTORNOS EMOCIONAIS COM INÍCIO ESPECIFICAMENTE NA INFÂNCIA
F94,TRANSTORNOS DO FUNCIONAMENTO SOCIAL COM INÍCIO ESPECIFICAMENTE DURANTE A INFÂNCIA OU A ADOLESCÊNCIA
F95,TIQUES
F98,OUTROS TRANSTORNOS COMPORTAMENTAIS E EMOCIONAIS COM INÍCIO HABITUALMENTE DURANTE A INFÂNCIA OU A ADOLESCÊNCIA
F99,TRANSTORNO MENTAL NÃO ESPECIFICADO EM OUTRA PARTE
G00,MENINGITE BACTERIANA NÃO CLASSIFICADA EM OUTRA PARTE
G01,MENINGITE EM DOENÇAS BACTERIANAS CLASSIFICADAS EM OUTRA PARTE
G02,MENINGITE EM OUTRAS DOENÇAS INFECCIOSAS E PARASITÁRIAS CLASSIFICADAS EM OUTRA PARTE
G03,MENINGITE DEVIDA A OUTRAS CAUSAS E A CAUSAS NÃO ESPECIFICADAS
G04,ENCEFALITE, MIELITE E ENCEFALOMIELITE
G05,ENCEFALITE, MIELITE E ENCEFALOMIELITE EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
G06,ABSCESSO E GRANULOMA INTRACRANIANOS E INTRA-RAQUIDIANOS
G07,ABSCESSO E GRANULOMA INTRACRANIANOS E INTRASPINAIS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
G08,FLEBITE E TROMBOFLEBITE INTRACRANIANAS E INTRA-RAQUIDIANAS
G09,SEQÜELAS DE DOENÇAS INFLAMATÓRIAS DO SISTEMA NERVOSO CENTRAL
G10,DOENÇA DE HUNTINGTON
G11,ATAXIA HEREDITÁRIA
G12,ATROFIA MUSCULAR ESPINAL E SÍNDROMES CORRELATAS
G13,ATROFIAS SISTÊMICAS QUE AFETAM PRINCIPALMENTE O SISTEMA NERVOSO CENTRAL EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
G20,DOENÇA DE PARKINSON
G21,PARKINSONISMO SECUNDÁRIO
G22,PARKINSONISMO EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
G23,OUTRAS DOENÇAS DEGENERATIVAS DOS GÂNGLIOS DA BASE
G24,DISTONIA
G25,OUTRAS DOENÇAS EXTRAPIRAMIDAIS E TRANSTORNOS DOS MOVIMENTOS
G26,DOENÇAS EXTRAPIRAMIDAIS E TRANSTORNOS DOS MOVIMENTOS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
G30,DOENÇA DE ALZHEIMER
G31,OUTRAS DOENÇAS DEGENERATIVAS DO SISTEMA NERVOSO NÃO CLASSIFICADAS EM OUTRA PARTE
G32,OUTROS TRANSTORNOS DEGENERATIVOS DO SISTEMA NERVOSO EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
G35,ESCLEROSE MÚLTIPLA
G36,OUTRAS DESMIELINIZAÇÕES DISSEMINADAS AGUDAS
G37,OUTRAS DOENÇAS DESMIELINIZANTES DO SISTEMA NERVOSO CENTRAL
G40,EPILEPSIA
G41,ESTADO DE MAL EPILÉPTICO
G43,ENXAQUECA
G44,OUTRAS SÍNDROMES DE ALGIAS CEFÁLICAS
G45,ACIDENTES VASCULARES CEREBRAIS ISQUÊMICOS TRANSITÓRIOS E SÍNDROMES CORRELATAS
G46,SÍNDROMES VASCULARES CEREBRAIS QUE OCORREM EM DOENÇAS CEREBROVASCULARES
G47,DISTÚRBIOS DO SONO
G50,TRANSTORNOS DO NERVO TRIGÊMEO
G51,TRANSTORNOS DO NERVO FACIAL
G52,TRANSTORNOS DE OUTROS NERVOS CRANIANOS
G53,TRANSTORNOS DOS NERVOS CRANIANOS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
G54,TRANSTORNOS DAS RAÍZES E DOS PLEXOS NERVOSOS
G55,COMPRESSÕES DAS RAÍZES E DOS PLEXOS NERVOSOS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
G56,MONONEUROPATIAS DOS MEMBROS SUPERIORES
G57,MONONEUROPATIAS DOS MEMBROS INFERIORES
G58,OUTRAS MONONEUROPATIAS
G59,MONONEUROPATIAS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
G60,NEUROPATIA HEREDITÁRIA E IDIOPÁTICA
G61,POLINEUROPATIA INFLAMATÓRIA
G62,OUTRAS POLINEUROPATIAS
G63,POLINEUROPATIA EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
G64,OUTROS TRANSTORNOS DO SISTEMA NERVOSO PERIFÉRICO
G70,MIASTENIA GRAVIS E OUTROS TRANSTORNOS NEUROMUSCULARES
G71,TRANSTORNOS PRIMÁRIOS DOS MÚSCULOS
G72,OUTRAS MIOPATIAS
G73,TRANSTORNOS DA JUNÇÃO MIONEURAL E DOS MÚSCULOS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
G80,PARALISIA CEREBRAL
G81,HEMIPLEGIA
G82,PARAPLEGIA E TETRAPLEGIA
G83,OUTRAS SÍNDROMES PARALÍTICAS
G90,TRANSTORNOS DO SISTEMA NERVOSO AUTÔNOMO
G91,HIDROCEFALIA
G92,ENCEFALOPATIA TÓXICA
G93,OUTROS TRANSTORNOS DO ENCÉFALO
G94,OUTROS TRANSTORNOS DO ENCÉFALO EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
G95,OUTRAS DOENÇAS DA MEDULA ESPINAL
G96,OUTROS TRANSTORNOS DO SISTEMA NERVOSO CENTRAL
G97,TRANSTORNOS PÓS-PROCEDIMENTO DO SISTEMA NERVOSO NÃO CLASSIFICADOS EM OUTRA PARTE
G98,OUTROS TRANSTORNOS DO SISTEMA NERVOSO NÃO CLASSIFICADOS EM OUTRA PARTE
G99,OUTROS TRANSTORNOS DO SISTEMA NERVOSO EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
H00,HORDÉOLO E CALÁZIO
H01,OUTRAS INFLAMAÇÕES DA PÁLPEBRA
H02,OUTROS TRANSTORNOS DA PÁLPEBRA
H03,TRANSTORNOS DA PÁLPEBRA EM DOENÇAS CLASSIFICADAS EM OUTRAS PARTES
H04,TRANSTORNOS DO APARELHO LACRIMAL
H05,TRANSTORNOS DA ÓRBITA
H06,TRANSTORNOS DO APARELHO LACRIMAL E DA ÓRBITA EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
H10,CONJUNTIVITE
H11,OUTROS TRANSTORNOS DA CONJUNTIVA
H13,TRANSTORNOS DA CONJUNTIVA EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
H15,TRANSTORNOS DA ESCLERÓTICA
H16,CERATITE
H17,CICATRIZES E OPACIDADES DA CÓRNEA
H18,OUTROS TRANSTORNOS DA CÓRNEA
H19,TRANSTORNO DA ESCLERÓTICA E DA CÓRNEA EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
H20,IRIDOCICLITE
H21,OUTROS TRANSTORNOS DA ÍRIS E DO CORPO CILIAR
H22,TRANSTORNOS DA ÍRIS E DO CORPO CILIAR EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
H25,CATARATA SENIL
H26,OUTRAS CATARATAS
H27,OUTROS TRANSTORNOS DO CRISTALINO
H28,CATARATA E OUTROS TRANSTORNOS DO CRISTALINO EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
H30,INFLAMAÇÃO CORIORRETINIANA
H31,OUTROS TRANSTORNOS DA CORÓIDE
H32,TRANSTORNOS CORIORRETINIANOS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
H33,DESCOLAMENTOS E DEFEITOS DA RETINA
H34,OCLUSÕES VASCULARES DA RETINA
H35,OUTROS TRANSTORNOS DA RETINA
H36,TRANSTORNOS DA RETINA EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
H40,GLAUCOMA
H42,GLAUCOMA EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
H43,TRANSTORNOS DO HUMOR VÍTREO
H44,TRANSTORNOS DO GLOBO OCULAR
H45,TRANSTORNOS DO HUMOR VÍTREO E DO GLOBO OCULAR EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
H46,NEURITE ÓPTICA
H47,OUTROS TRANSTORNOS DO NERVO ÓPTICO E DAS VIAS ÓPTICAS
H48,TRANSTORNOS DO NERVO ÓPTICO [SEGUNDO PAR] E DAS VIAS ÓPTICAS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
H49,ESTRABISMO PARALÍTICO
H50,OUTROS ESTRABISMOS
H51,OUTROS TRANSTORNOS DO MOVIMENTO BINOCULAR
H52,TRANSTORNOS DA REFRAÇÃO E DA ACOMODAÇÃO
H53,DISTÚRBIOS VISUAIS
H54,CEGUEIRA E VISÃO SUBNORMAL
H55,NISTAGMO E OUTROS MOVIMENTOS IRREGULARES DO OLHO
H57,OUTROS TRANSTORNOS DO OLHO E ANEXOS
H58,OUTROS TRANSTORNOS DO OLHO E ANEXOS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
H59,TRANSTORNOS DO OLHO E ANEXOS PÓS-PROCEDIMENTO NÃO CLASSIFICADOS EM OUTRA PARTE
H60,OTITE EXTERNA
H61,OUTROS TRANSTORNOS DO OUVIDO EXTERNO
H62,TRANSTORNOS DO OUVIDO EXTERNO EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
H65,OTITE MÉDIA NÃO-SUPURATIVA
H66,OTITE MÉDIA SUPURATIVA E AS NÃO ESPECIFICADAS
H67,OTITE MÉDIA EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
H68,SALPINGITE E OBSTRUÇÃO DA TROMPA DE EUSTÁQUIO
H69,OUTROS TRANSTORNOS DA TROMPA DE EUSTÁQUIO
H70,MASTOIDITE E AFECÇÕES CORRELATAS
H71,COLESTEATOMA DO OUVIDO MÉDIO
H72,PERFURAÇÃO DA MEMBRANA DO TÍMPANO
H73,OUTROS TRANSTORNOS DA MEMBRANA DO TÍMPANO
H74,OUTROS TRANSTORNOS DO OUVIDO MÉDIO E DA MASTÓIDE
H75,OUTROS TRANSTORNOS DO OUVIDO MÉDIO E DA MASTÓIDE EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
H80,OTOSCLEROSE
H81,TRANSTORNOS DA FUNÇÃO VESTIBULAR
H82,SÍNDROMES VERTIGINOSAS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
H83,OUTROS TRANSTORNOS DO OUVIDO INTERNO
H90,PERDA DE AUDIÇÃO POR TRANSTORNO DE CONDUÇÃO E/OU NEURO-SENSORIAL
H91,OUTRAS PERDAS DE AUDIÇÃO
H92,OTALGIA E SECREÇÃO AUDITIVA
H93,OUTROS TRANSTORNOS DO OUVIDO NÃO CLASSIFICADOS EM OUTRA PARTE
H94,OUTROS TRANSTORNOS DO OUVIDO EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
H95,TRANSTORNOS DO OUVIDO E DA APÓFISE MASTÓIDE PÓS-PROCEDIMENTOS, NÃO CLASSIFICADOS EM OUTRA PARTE
I00,FEBRE REUMÁTICA SEM MENÇÃO DE COMPROMETIMENTO DO CORAÇÃO
I01,FEBRE REUMÁTICA COM COMPROMETIMENTO DO CORAÇÃO
I02,CORÉIA REUMÁTICA
I05,DOENÇAS REUMÁTICAS DA VALVA MITRAL
I06,DOENÇAS REUMÁTICAS DA VALVA AÓRTICA
I07,DOENÇAS REUMÁTICAS DA VALVA TRICÚSPIDE
I08,DOENÇAS DE MÚLTIPLAS VALVAS
I09,OUTRAS DOENÇAS REUMÁTICAS DO CORAÇÃO
I10,HIPERTENSÃO ESSENCIAL (PRIMÁRIA)
I11,DOENÇA CARDÍACA HIPERTENSIVA
I12,DOENÇA RENAL HIPERTENSIVA
I13,DOENÇA CARDÍACA E RENAL HIPERTENSIVA
I15,HIPERTENSÃO SECUNDÁRIA
I20,ANGINA PECTORIS
I21,INFARTO AGUDO DO MIOCÁRDIO
I22,INFARTO DO MIOCÁRDIO RECORRENTE
I23,ALGUMAS COMPLICAÇÕES ATUAIS SUBSEQÜENTES AO INFARTO AGUDO DO MIOCÁRDIO
I24,OUTRAS DOENÇAS ISQUÊMICAS AGUDAS DO CORAÇÃO
I25,DOENÇA ISQUÊMICA CRÔNICA DO CORAÇÃO
I26,EMBOLIA PULMONAR
I27,OUTRAS FORMAS DE DOENÇA CARDÍACA PULMONAR
I28,OUTRAS DOENÇAS DOS VASOS PULMONARES
I30,PERICARDITE AGUDA
I31,OUTRAS DOENÇAS DO PERICÁRDIO
I32,PERICARDITE EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
I33,ENDOCARDITE AGUDA E SUBAGUDA
I34,TRANSTORNOS NÃO-REUMÁTICOS DA VALVA MITRAL
I35,TRANSTORNOS NÃO-REUMÁTICOS DA VALVA AÓRTICA
I36,TRANSTORNOS NÃO-REUMÁTICOS DA VALVA TRICÚSPIDE
I37,TRANSTORNOS DA VALVA PULMONAR
I38,ENDOCARDITE DE VALVA NÃO ESPECIFICADA
I39,ENDOCARDITE E TRANSTORNOS VALVULARES CARDÍACOS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
I40,MIOCARDITE AGUDA
I41,MIOCARDITE EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
I42,CARDIOMIOPATIAS
I43,CARDIOMIOPATIA EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
I44,BLOQUEIO ATRIOVENTRICULAR E DO RAMO ESQUERDO
I45,OUTROS TRANSTORNOS DE CONDUÇÃO
I46,PARADA CARDÍACA
I47,TAQUICARDIA PAROXÍSTICA
I48,FLUTTER E FIBRILAÇÃO ATRIAL
I49,OUTRAS ARRITMIAS CARDÍACAS
I50,INSUFICIÊNCIA CARDÍACA
I51,COMPLICAÇÕES DE CARDIOPATIAS E DOENÇAS CARDÍACAS MAL DEFINIDAS
I52,OUTRAS AFECÇÕES CARDÍACAS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
I60,HEMORRAGIA SUBARACNÓIDE
I61,HEMORRAGIA INTRACEREBRAL
I62,OUTRAS HEMORRAGIAS INTRACRANIANAS NÃO-TRAUMÁTICAS
I63,INFARTO CEREBRAL
I64,ACIDENTE VASCULAR CEREBRAL, NÃO ESPECIFICADO COMO HEMORRÁGICO OU ISQUÊMICO
I65,OCLUSÃO E ESTENOSE DE ARTÉRIAS PRÉ-CEREBRAIS QUE NÃO RESULTAM EM INFARTO CEREBRAL
I66,OCLUSÃO E ESTENOSE DE ARTÉRIAS CEREBRAIS QUE NÃO RESULTAM EM INFARTO CEREBRAL
I67,OUTRAS DOENÇAS CEREBROVASCULARES
I68,TRANSTORNOS CEREBROVASCULARES EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
I69,SEQÜELAS DE DOENÇAS CEREBROVASCULARES
I70,ATEROSCLEROSE
I71,ANEURISMA E DISSECÇÃO DA AORTA
I72,OUTROS ANEURISMAS
I73,OUTRAS DOENÇAS VASCULARES PERIFÉRICAS
I74,EMBOLIA E TROMBOSE ARTERIAIS
I77,OUTRAS AFECÇÕES DAS ARTÉRIAS E ARTERÍOLAS
I78,DOENÇAS DOS CAPILARES
I79,TRANSTORNOS DAS ARTÉRIAS, DAS ARTERÍOLAS E DOS CAPILARES EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
I80,FLEBITE E TROMBOFLEBITE
I81,TROMBOSE DA VEIA PORTA
I82,OUTRA EMBOLIA E TROMBOSE VENOSAS
I83,VARIZES DOS MEMBROS INFERIORES
I84,HEMORRÓIDAS
I85,VARIZES ESOFAGIANAS
I86,VARIZES DE OUTRAS LOCALIZAÇÕES
I87,OUTROS TRANSTORNOS DAS VEIAS
I88,LINFADENITE INESPECÍFICA
I89,OUTROS TRANSTORNOS NÃO-INFECCIOSOS DOS VASOS LINFÁTICOS E DOS GÂNGLIOS LINFÁTICOS
I95,HIPOTENSÃO
I97,TRANSTORNOS DO APARELHO CIRCULATÓRIO, SUBSEQÜENTES A PROCEDIMENTOS NÃO CLASSIFICADOS EM OUTRA PARTE
I98,OUTROS TRANSTORNOS DO APARELHO CIRCULATÓRIO EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
I99,OUTROS TRANSTORNOS DO APARELHO CIRCULATÓRIO E OS NÃO ESPECIFICADOS
J00,NASOFARINGITE AGUDA [RESFRIADO COMUM]
J01,SINUSITE AGUDA
J02,FARINGITE AGUDA
J03,AMIGDALITE AGUDA
J04,LARINGITE E TRAQUEÍTE AGUDAS
J05,LARINGITE OBSTRUTIVA AGUDA [CRUPE] E EPIGLOTITE
J06,INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES DE LOCALIZAÇÕES MÚLTIPLAS E NÃO ESPECIFICADAS
J09,INFLUENZA [GRIPE] DEVIDA A VÍRUS IDENTIFICADO DA GRIPE AVIÁRIA
J10,INFLUENZA DEVIDA A OUTRO VÍRUS DA INFLUENZA [GRIPE] IDENTIFICADO
J11,INFLUENZA [GRIPE] DEVIDA A VÍRUS NÃO IDENTIFICADO
J12,PNEUMONIA VIRAL NÃO CLASSIFICADA EM OUTRA PARTE
J13,PNEUMONIA DEVIDA A STREPTOCOCCUS PNEUMONIAE
J14,PNEUMONIA DEVIDA A HAEMOPHILUS INFUENZAE
J15,PNEUMONIA BACTERIANA NÃO CLASSIFICADA EM OUTRA PARTE
J16,PNEUMONIA DEVIDA A OUTROS MICROORGANISMOS INFECCIOSOS ESPECIFICADOS NÃO CLASSIFICADOS EM OUTRA PARTE
J17,PNEUMONIA EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
J18,PNEUMONIA POR MICROORGANISMO NÃO ESPECIFICADA
J20,BRONQUITE AGUDA
J21,BRONQUIOLITE AGUDA
J22,INFECÇÕES AGUDAS NÃO ESPECIFICADA DAS VIAS AÉREAS INFERIORES
J30,RINITE ALÉRGICA E VASOMOTORA
J31,RINITE, NASOFARINGITE E FARINGITE CRÔNICAS
J32,SINUSITE CRÔNICA
J33,PÓLIPO NASAL
J34,OUTROS TRANSTORNOS DO NARIZ E DOS SEIOS PARANASAIS
J35,DOENÇAS CRÔNICAS DAS AMÍGDALAS E DAS ADENÓIDES
J36,ABSCESSO PERIAMIGDALIANO
J37,LARINGITE E LARINGOTRAQUEÍTE CRÔNICAS
J38,DOENÇAS DAS CORDAS VOCAIS E DA LARINGE NÃO CLASSIFICADAS EM OUTRA PARTE
J39,OUTRAS DOENÇAS DAS VIAS AÉREAS SUPERIORES
J40,BRONQUITE NÃO ESPECIFICADA COMO AGUDA OU CRÔNICA
J41,BRONQUITE CRÔNICA SIMPLES E A MUCOPURULENTA
J42,BRONQUITE CRÔNICA NÃO ESPECIFICADA
J43,ENFISEMA
J44,OUTRAS DOENÇAS PULMONARES OBSTRUTIVAS CRÔNICAS
J45,ASMA
J46,ESTADO DE MAL ASMÁTICO
J47,BRONQUECTASIA
J60,PNEUMOCONIOSE DOS MINEIROS DE CARVÃO
J61,PNEUMOCONIOSE DEVIDA A AMIANTO [ASBESTO] E OUTRAS FIBRAS MINERAIS
J62,PNEUMOCONIOSE DEVIDA A POEIRA QUE CONTENHAM SÍLICA
J63,PNEUMOCONIOSE DEVIDA A OUTRAS POEIRAS INORGÂNICAS
J64,PNEUMOCONIOSE NÃO ESPECIFICADA
J65,PNEUMOCONIOSE ASSOCIADA COM TUBERCULOSE
J66,DOENÇAS DAS VIAS AÉREAS DEVIDA A POEIRAS ORGÂNICAS ESPECÍFICAS
J67,PNEUMONITE DE HIPERSENSIBILIDADE DEVIDA A POEIRAS ORGÂNICAS
J68,AFECÇÕES RESPIRATÓRIAS DEVIDAS A INALAÇÃO DE PRODUTOS QUÍMICOS, GASES, FUMAÇAS E VAPORES
J69,PNEUMONITE DEVIDA A SÓLIDOS E LÍQUIDOS
J70,AFECÇÕES RESPIRATÓRIAS DEVIDA A OUTROS AGENTES EXTERNOS
J80,SÍNDROME DO DESCONFORTO RESPIRATÓRIO DO ADULTO
J81,EDEMA PULMONAR, NÃO ESPECIFICADO DE OUTRA FORMA
